temperature	V(n005)	V(n006)
1.500000000000000e+002	3.680930e-001	1.571198e-001
1.499000000000000e+002	3.680120e-001	1.573854e-001
1.498000000000000e+002	3.679319e-001	1.576492e-001
1.496999999999999e+002	3.678513e-001	1.579139e-001
1.495999999999999e+002	3.677706e-001	1.581786e-001
1.494999999999999e+002	3.676898e-001	1.584434e-001
1.493999999999999e+002	3.676090e-001	1.587081e-001
1.492999999999998e+002	3.675281e-001	1.589729e-001
1.491999999999998e+002	3.674472e-001	1.592377e-001
1.490999999999998e+002	3.673663e-001	1.595025e-001
1.489999999999998e+002	3.672853e-001	1.597674e-001
1.488999999999998e+002	3.672042e-001	1.600322e-001
1.487999999999997e+002	3.671231e-001	1.602971e-001
1.486999999999997e+002	3.670419e-001	1.605620e-001
1.485999999999997e+002	3.669607e-001	1.608269e-001
1.484999999999997e+002	3.668794e-001	1.610918e-001
1.483999999999996e+002	3.667981e-001	1.613567e-001
1.482999999999996e+002	3.667167e-001	1.616217e-001
1.481999999999996e+002	3.666353e-001	1.618866e-001
1.480999999999996e+002	3.665538e-001	1.621516e-001
1.479999999999996e+002	3.664723e-001	1.624166e-001
1.478999999999995e+002	3.663908e-001	1.626817e-001
1.477999999999995e+002	3.663091e-001	1.629467e-001
1.476999999999995e+002	3.662275e-001	1.632117e-001
1.475999999999995e+002	3.661458e-001	1.634768e-001
1.474999999999994e+002	3.660640e-001	1.637419e-001
1.473999999999994e+002	3.659822e-001	1.640070e-001
1.472999999999994e+002	3.659004e-001	1.642721e-001
1.471999999999994e+002	3.658185e-001	1.645372e-001
1.470999999999993e+002	3.657366e-001	1.648024e-001
1.469999999999993e+002	3.656546e-001	1.650675e-001
1.468999999999993e+002	3.655726e-001	1.653327e-001
1.467999999999993e+002	3.654906e-001	1.655979e-001
1.466999999999993e+002	3.654085e-001	1.658631e-001
1.465999999999992e+002	3.653263e-001	1.661283e-001
1.464999999999992e+002	3.652441e-001	1.663935e-001
1.463999999999992e+002	3.651619e-001	1.666587e-001
1.462999999999992e+002	3.650796e-001	1.669240e-001
1.461999999999991e+002	3.649973e-001	1.671892e-001
1.460999999999991e+002	3.649149e-001	1.674545e-001
1.459999999999991e+002	3.648325e-001	1.677198e-001
1.458999999999991e+002	3.647501e-001	1.679851e-001
1.457999999999991e+002	3.646676e-001	1.682504e-001
1.456999999999990e+002	3.645851e-001	1.685157e-001
1.455999999999990e+002	3.645025e-001	1.687810e-001
1.454999999999990e+002	3.644199e-001	1.690464e-001
1.453999999999990e+002	3.643373e-001	1.693117e-001
1.452999999999989e+002	3.642546e-001	1.695771e-001
1.451999999999989e+002	3.641719e-001	1.698425e-001
1.450999999999989e+002	3.640892e-001	1.701079e-001
1.449999999999989e+002	3.640064e-001	1.703733e-001
1.448999999999988e+002	3.639235e-001	1.706387e-001
1.447999999999988e+002	3.638407e-001	1.709041e-001
1.446999999999988e+002	3.637578e-001	1.711695e-001
1.445999999999988e+002	3.636748e-001	1.714350e-001
1.444999999999988e+002	3.635918e-001	1.717004e-001
1.443999999999987e+002	3.635089e-001	1.719659e-001
1.442999999999987e+002	3.634258e-001	1.722314e-001
1.441999999999987e+002	3.633427e-001	1.724969e-001
1.440999999999987e+002	3.632596e-001	1.727623e-001
1.439999999999986e+002	3.631764e-001	1.730279e-001
1.438999999999986e+002	3.630933e-001	1.732934e-001
1.437999999999986e+002	3.630100e-001	1.735589e-001
1.436999999999986e+002	3.629268e-001	1.738244e-001
1.435999999999985e+002	3.628435e-001	1.740900e-001
1.434999999999985e+002	3.627602e-001	1.743555e-001
1.433999999999985e+002	3.626768e-001	1.746210e-001
1.432999999999985e+002	3.625934e-001	1.748866e-001
1.431999999999985e+002	3.625100e-001	1.751522e-001
1.430999999999984e+002	3.624265e-001	1.754178e-001
1.429999999999984e+002	3.623430e-001	1.756833e-001
1.428999999999984e+002	3.622595e-001	1.759489e-001
1.427999999999984e+002	3.621760e-001	1.762145e-001
1.426999999999983e+002	3.620924e-001	1.764801e-001
